GENE	CHR	START	END	GENEID
MTF2	1	93544792	93604638	ENSG00000143033
SLC44A3	1	95285898	95360802	ENSG00000143036
IGSF3	1	117117031	117210375	ENSG00000143061
ZNF697	1	120162045	120190396	ENSG00000143067
CTTNBP2NL	1	112938803	113006078	ENSG00000143079
STRIP1	1	110574199	110617263	ENSG00000143093
PSMA5	1	109941653	109969062	ENSG00000143106
FNDC7	1	109255279	109285365	ENSG00000143107
C1orf162	1	112016414	112021134	ENSG00000143110
CD53	1	111415775	111442550	ENSG00000143119
CELSR2	1	109792641	109818372	ENSG00000143126
ITGA10	1	145524891	145543868	ENSG00000143127
GPR161	1	168053997	168106821	ENSG00000143147
ALDH9A1	1	165631453	165668100	ENSG00000143149
ATP1B1	1	169074935	169101960	ENSG00000143153
TIPRL	1	168148171	168169950	ENSG00000143155
NME7	1	169101769	169337205	ENSG00000143156
POGK	1	166808681	166825581	ENSG00000143157
MPC2	1	167885967	167906278	ENSG00000143158
CREG1	1	167498914	167523004	ENSG00000143162
DCAF6	1	167905021	168045081	ENSG00000143164
GPA33	1	167022073	167059868	ENSG00000143167
TBX19	1	168250278	168283664	ENSG00000143178
UCK2	1	165796768	165880855	ENSG00000143179
TMCO1	1	165696032	165796992	ENSG00000143183
XCL1	1	168545711	168551315	ENSG00000143184
XCL2	1	168510003	168513235	ENSG00000143185
POU2F1	1	167190066	167396582	ENSG00000143190
DPT	1	168664697	168698502	ENSG00000143196
MGST3	1	165600098	165631033	ENSG00000143198
ADCY10	1	167778625	167883453	ENSG00000143199
RFWD2	1	175913967	176176629	ENSG00000143207
PVRL4	1	161040785	161059389	ENSG00000143217
UFC1	1	161122566	161128646	ENSG00000143222
PPOX	1	161136200	161147803	ENSG00000143224
FCGR2A	1	161475220	161493803	ENSG00000143226
NUF2	1	163236366	163325554	ENSG00000143228
RGS5	1	163080911	163291577	ENSG00000143248
SDHC	1	161284047	161332984	ENSG00000143252
PFDN2	1	161070346	161087901	ENSG00000143256
NR1I3	1	161199456	161208092	ENSG00000143257
USP21	1	161129240	161135513	ENSG00000143258
PRCC	1	156720402	156770607	ENSG00000143294
FCRL5	1	157483167	157522310	ENSG00000143297
RRNAD1	1	156698234	156706752	ENSG00000143303
MRPL24	1	156707095	156711382	ENSG00000143314
PIGM	1	159997462	160001783	ENSG00000143315
CASQ1	1	160160285	160171676	ENSG00000143318
ISG20L2	1	156691683	156698591	ENSG00000143319
CRABP2	1	156669398	156675608	ENSG00000143320
HDGF	1	156711899	156736717	ENSG00000143321
ABL2	1	179068462	179198819	ENSG00000143322
XPR1	1	180601140	180859387	ENSG00000143324
RGS16	1	182567758	182573543	ENSG00000143333
TOR1AIP1	1	179851177	179894135	ENSG00000143337
RGL1	1	183605220	183897665	ENSG00000143344
LYPLAL1	1	219347186	219386207	ENSG00000143353
PRUNE	1	150980896	151008189	ENSG00000143363
RORC	1	151778547	151804348	ENSG00000143365
TUFT1	1	151512781	151556059	ENSG00000143367
SF3B4	1	149895209	149900236	ENSG00000143368
ECM1	1	150480538	150486265	ENSG00000143369
ZNF687	1	151254094	151264656	ENSG00000143373
TARS2	1	150459887	150480078	ENSG00000143374
CGN	1	151482986	151511168	ENSG00000143375
SNX27	1	151584541	151671567	ENSG00000143376
SETDB1	1	150898739	150937213	ENSG00000143379
ADAMTSL4	1	150521884	150533413	ENSG00000143382
MCL1	1	150547032	150552066	ENSG00000143384
CTSK	1	150768684	150780799	ENSG00000143387
RFX5	1	151313116	151319833	ENSG00000143390
PI4KB	1	151264273	151300191	ENSG00000143393
PIP5K1A	1	151170425	151222012	ENSG00000143398
ANP32E	1	150190717	150208504	ENSG00000143401
FAM63A	1	150969025	150980851	ENSG00000143409
ANXA9	1	150954493	150968110	ENSG00000143412
SELENBP1	1	151336778	151345209	ENSG00000143416
CERS2	1	150933059	150947479	ENSG00000143418
ENSA	1	150573327	150602088	ENSG00000143420
	2	91805186	91847998	ENSG00000143429
SEMA6C	1	151104161	151119104	ENSG00000143434
MRPL9	1	151732119	151736040	ENSG00000143436
ARNT	1	150782181	150849244	ENSG00000143437
POGZ	1	151375200	151431941	ENSG00000143442
C1orf56	1	151020216	151024462	ENSG00000143443
OAZ3	1	151735445	151743808	ENSG00000143450
HORMAD1	1	150670536	150693364	ENSG00000143452
GOLPH3L	1	150618701	150669630	ENSG00000143457
GABPB2	1	151043054	151098018	ENSG00000143458
IKBKE	1	206643791	206670223	ENSG00000143466
DTL	1	212208919	212280742	ENSG00000143476
DYRK3	1	206808881	206857764	ENSG00000143479
EIF2D	1	206744620	206785904	ENSG00000143486
INTS7	1	212113741	212208884	ENSG00000143493
VASH2	1	213123862	213165379	ENSG00000143494
TAF1A	1	222731244	222763275	ENSG00000143498
SMYD2	1	214454445	214510474	ENSG00000143499
SUSD4	1	223394161	223537544	ENSG00000143502
DUSP10	1	221874766	221915518	ENSG00000143507
HHIPL2	1	222695602	222721445	ENSG00000143512
TP53BP2	1	223967601	224033674	ENSG00000143514
ATP8B2	1	154298029	154323783	ENSG00000143515
FLG2	1	152321211	152332482	ENSG00000143520
CRNN	1	152381719	152386739	ENSG00000143536
ADAM15	1	155023042	155035252	ENSG00000143537
JTB	1	153946745	153950164	ENSG00000143543
RAB13	1	153954127	153958834	ENSG00000143545
S100A8	1	153362508	153363664	ENSG00000143546
TPM3	1	154127784	154167124	ENSG00000143549
NUP210L	1	153965161	154127592	ENSG00000143552
SNAPIN	1	153631130	153634306	ENSG00000143553
SLC27A3	1	153746830	153752633	ENSG00000143554
S100A7	1	153430220	153433177	ENSG00000143556
UBAP2L	1	154192655	154243986	ENSG00000143569
SLC39A1	1	153931575	153940188	ENSG00000143570
HAX1	1	154244987	154248351	ENSG00000143575
CREB3L4	1	153940010	153946839	ENSG00000143578
EFNA3	1	155036224	155060014	ENSG00000143590
AQP10	1	154293566	154297801	ENSG00000143595
KCNN3	1	154669931	154842756	ENSG00000143603
C1orf43	1	154179182	154193104	ENSG00000143612
GATAD2B	1	153777201	153895451	ENSG00000143614
ILF2	1	153634512	153643524	ENSG00000143621
RIT1	1	155867599	155881195	ENSG00000143622
INTS3	1	153700543	153746555	ENSG00000143624
PKLR	1	155259630	155271225	ENSG00000143627
HCN3	1	155247374	155259639	ENSG00000143630
FLG	1	152274651	152297679	ENSG00000143631
ACTA1	1	229566992	229569845	ENSG00000143632
C1orf131	1	231359509	231376933	ENSG00000143633
GALNT2	1	230193536	230417870	ENSG00000143641
TTC13	1	231041989	231114621	ENSG00000143643
SCCPDH	1	246887349	246931439	ENSG00000143653
LYST	1	235824341	236046940	ENSG00000143669
	1	233463514	233520894	ENSG00000143674
CEP170	1	243287730	243418650	ENSG00000143702
ACP1	2	264140	278283	ENSG00000143727
SNAP47	1	227916240	227968927	ENSG00000143740
SRP9	1	225965531	225978168	ENSG00000143742
NVL	1	224415036	224518089	ENSG00000143748
SDE2	1	226170403	226187032	ENSG00000143751
DEGS1	1	224363458	224381143	ENSG00000143753
FBXO28	1	224301789	224349749	ENSG00000143756
ARF1	1	228270361	228286912	ENSG00000143761
CNIH4	1	224544552	224567161	ENSG00000143771
ITPKB	1	226819391	226927024	ENSG00000143772
GUK1	1	228327663	228336685	ENSG00000143774
CDC42BPA	1	227177566	227506175	ENSG00000143776
CNIH3	1	224622362	224928251	ENSG00000143786
C1orf35	1	228288427	228293112	ENSG00000143793
MBOAT2	2	8992820	9143942	ENSG00000143797
PARP1	1	226548392	226595780	ENSG00000143799
PSEN2	1	227057885	227083806	ENSG00000143801
PYCR2	1	226107578	226111978	ENSG00000143811
LBR	1	225589204	225616627	ENSG00000143815
WNT9A	1	228106357	228135599	ENSG00000143816
EPHX1	1	225997794	226033260	ENSG00000143819
SOX13	1	204042243	204096863	ENSG00000143842
ETNK2	1	204100190	204121307	ENSG00000143845
PPFIA4	1	202995626	203047868	ENSG00000143847
PLEKHA6	1	204187979	204346793	ENSG00000143850
PTPN7	1	202116141	202130716	ENSG00000143851
SYT2	1	202559724	202679545	ENSG00000143858
ARL8A	1	202102532	202113869	ENSG00000143862
OSR1	2	19551246	19558414	ENSG00000143867
GDF7	2	20866424	20873418	ENSG00000143869
PDIA6	2	10923517	10978103	ENSG00000143870
RHOB	2	20646835	20649200	ENSG00000143878
ATP6V1C2	2	10861775	10925236	ENSG00000143882
HNRNPLL	2	38789120	38830728	ENSG00000143889
GALM	2	38893052	38968379	ENSG00000143891
CAMKMT	2	44589089	44999731	ENSG00000143919
EML4	2	42396490	42559688	ENSG00000143924
CALM2	2	47387221	47403740	ENSG00000143933
CHAC2	2	53994929	54002333	ENSG00000143942
RPS27A	2	55459039	55462989	ENSG00000143947
WDPCP	2	63348518	64054977	ENSG00000143951
VPS54	2	64119280	64246206	ENSG00000143952
ASXL2	2	25956622	26101385	ENSG00000143970
ETAA1	2	67624451	67637677	ENSG00000143971
SNRPG	2	70508494	70520903	ENSG00000143977
ABHD1	2	27346682	27353680	ENSG00000143994
MEIS1	2	66660584	66801001	ENSG00000143995
CIAO1	2	96931870	96939087	ENSG00000144021
ZNF514	2	95813075	95831158	ENSG00000144026
SNRNP200	2	96940074	96971297	ENSG00000144028
MRPS5	2	95752952	95815179	ENSG00000144029
ANKRD53	2	71205510	71212626	ENSG00000144031
TPRKB	2	73956231	73964527	ENSG00000144034
EXOC6B	2	72403113	73053170	ENSG00000144036
SFXN5	2	73169165	73302747	ENSG00000144040
TEX261	2	71213068	71222075	ENSG00000144043
DQX1	2	74745258	74753463	ENSG00000144045
DUSP11	2	73989311	74007284	ENSG00000144048
NPHP1	2	110879888	110962643	ENSG00000144061
THNSL2	2	88469835	88486146	ENSG00000144115
RALB	2	120997640	121052289	ENSG00000144118
TMEM177	2	120436743	120444083	ENSG00000144120
NT5DC4	2	113479063	113500456	ENSG00000144130
RABL2A	2	114384806	114400973	ENSG00000144134
SLC20A1	2	113403434	113421404	ENSG00000144136
FBLN7	2	112895962	112945791	ENSG00000144152
ZC3H8	2	112969102	113012713	ENSG00000144161
LIPT1	2	99771418	99779620	ENSG00000144182
FAHD2B	2	97749320	97760619	ENSG00000144199
LYG1	2	99900701	99921205	ENSG00000144214
AFF3	2	100162323	100759201	ENSG00000144218
UBXN4	2	136499189	136542625	ENSG00000144224
SPOPL	2	139259371	139331117	ENSG00000144228
GPR17	2	128403439	128410213	ENSG00000144230
POLR2D	2	128603840	128615731	ENSG00000144231
AMMECR1L	2	128619204	128643496	ENSG00000144233
PKP4	2	159313476	159539391	ENSG00000144283
SLC4A10	2	162280843	162841792	ENSG00000144290
SCRN3	2	175260458	175294303	ENSG00000144306
KIAA1715	2	176788620	176867567	ENSG00000144320
CDCA7	2	174219548	174233725	ENSG00000144354
UBR3	2	170683968	170940641	ENSG00000144357
PHOSPHO2	2	170550975	170558218	ENSG00000144362
FAM171B	2	187558698	187630685	ENSG00000144369
HSPD1	2	198351305	198381461	ENSG00000144381
CCDC150	2	197504278	197628214	ENSG00000144395
METTL21A	2	208445355	208490652	ENSG00000144401
PTH2R	2	209224438	209719227	ENSG00000144407
NBEAL1	2	203879602	204091101	ENSG00000144426
KANSL1L	2	210886147	211036107	ENSG00000144445
SPAG16	2	214149113	215275225	ENSG00000144451
SUMF1	3	3742498	4508965	ENSG00000144455
RHBDD1	2	227700297	227863931	ENSG00000144468
ACKR3	2	237476430	237491001	ENSG00000144476
HES6	2	239146908	239149303	ENSG00000144485
ESPNL	2	239008798	239041928	ENSG00000144488
ANKMY1	2	241418839	241508626	ENSG00000144504
COPS7B	2	232646381	232673963	ENSG00000144524
DIS3L2	2	232825955	233209060	ENSG00000144535
CPNE9	3	9745491	9771592	ENSG00000144550
FANCD2	3	10068098	10143614	ENSG00000144554
TAMM41	3	11831916	11888393	ENSG00000144559
VGLL4	3	11597544	11762220	ENSG00000144560
RAB5A	3	19988571	20026667	ENSG00000144566
FAM134A	2	220040947	220050201	ENSG00000144567
CTDSP1	2	219262979	219270664	ENSG00000144579
RQCD1	2	219433303	219461803	ENSG00000144580
STK11IP	2	220462582	220481173	ENSG00000144589
GMPPA	2	220363589	220371710	ENSG00000144591
EAF1	3	15468862	15484120	ENSG00000144597
DYNC1LI1	3	32567463	32612366	ENSG00000144635
RBMS3	3	29322473	30051886	ENSG00000144642
OSBPL10	3	31699382	32119072	ENSG00000144645
POMGNT2	3	43120724	43147568	ENSG00000144647
ACKR2	3	42846244	42929466	ENSG00000144648
FAM198A	3	43020759	43101703	ENSG00000144649
CSRNP1	3	39183346	39196053	ENSG00000144655
SLC25A38	3	39424839	39438842	ENSG00000144659
ITGA9	3	37493606	37865005	ENSG00000144668
SLC22A14	3	38323785	38360066	ENSG00000144671
GOLGA4	3	37284668	37408242	ENSG00000144674
CTDSPL	3	37903451	38025960	ENSG00000144677
STAC	3	36421836	36589499	ENSG00000144681
IQSEC1	3	12938719	13114617	ENSG00000144711
CAND2	3	12837971	12913415	ENSG00000144712
RPL32	3	12875984	12883087	ENSG00000144713
PTPRG	3	61547243	62283288	ENSG00000144724
SHQ1	3	72798428	72911065	ENSG00000144736
SLC25A26	3	66119285	66438540	ENSG00000144741
UBA3	3	69103881	69129559	ENSG00000144744
ARL6IP5	3	69134095	69155217	ENSG00000144746
TMF1	3	69068978	69101484	ENSG00000144747
LRIG1	3	66429221	66551687	ENSG00000144749
LIMD1	3	45596886	45727830	ENSG00000144791
ZNF660	3	44619715	44641186	ENSG00000144792
NFKBIZ	3	101546835	101579866	ENSG00000144802
COL8A1	3	99357319	99518070	ENSG00000144810
NXPE3	3	101498046	101547073	ENSG00000144815
GPR128	3	100328433	100414323	ENSG00000144820
MYH15	3	108099216	108248169	ENSG00000144821
PHLDB2	3	111451344	111695364	ENSG00000144824
ABHD10	3	111697857	111712210	ENSG00000144827
TAGLN3	3	111717511	111732734	ENSG00000144834
ATG3	3	112251356	112280893	ENSG00000144848
AMT	3	49454211	49460186	ENSG00000145020
TCTA	3	49449639	49453908	ENSG00000145022
NICN1	3	49460379	49466759	ENSG00000145029
UCN2	3	48599160	48601206	ENSG00000145040
VPRBP	3	51433298	51534010	ENSG00000145041
MANF	3	51422478	51426828	ENSG00000145050
	2	11239977	11272947	ENSG00000145063
ANO7	2	242127924	242164792	ENSG00000146205
ZMYM4	1	35734568	35887659	ENSG00000146463
WASH2P	2	114341664	114356655	ENSG00000146556
PLCH2	1	2357419	2436969	ENSG00000149527
FCGR1A	1	149754227	149764074	ENSG00000150337
HNMT	2	138721590	138773930	ENSG00000150540
LYPD6B	2	149894621	150071776	ENSG00000150556
RGS18	1	192127587	192154945	ENSG00000150681
C2orf50	2	11273179	11286916	ENSG00000150873
CRIM1	2	36583069	36778278	ENSG00000150938
ITPR1	3	4535032	4889524	ENSG00000150995
THRB	3	24158651	24536773	ENSG00000151090
NGLY1	3	25760435	25831530	ENSG00000151092
OXSM	3	25824408	25836025	ENSG00000151093
TMEM18	2	667335	677439	ENSG00000151353
NEK7	1	198126093	198291550	ENSG00000151414
PIGF	2	46808076	46844258	ENSG00000151665
ANKAR	2	190539016	190625919	ENSG00000151687
INPP1	2	191208196	191236391	ENSG00000151689
MFSD6	2	191273081	191373931	ENSG00000151690
RNF144A	2	7057523	7208417	ENSG00000151692
ASAP2	2	9346894	9545812	ENSG00000151693
ADAM17	2	9628615	9695921	ENSG00000151694
NBAS	2	15307032	15701454	ENSG00000151779
ZNF385D	3	21459915	22414812	ENSG00000151789
LIX1L	1	145477085	145501669	ENSG00000152022
AP1S3	2	224616403	224702744	ENSG00000152056
RABGAP1L	1	174128548	174964445	ENSG00000152061
TMEM56	1	95582894	95663163	ENSG00000152078
MZT2B	2	130939310	130948302	ENSG00000152082
FAM168B	2	131805449	131851033	ENSG00000152102
	2	132250386	132279146	ENSG00000152117
MGAT5	2	134877554	135212192	ENSG00000152127
TMEM163	2	135213330	135476570	ENSG00000152128
GPATCH11	2	37311594	37326387	ENSG00000152133
GEMIN6	2	38978676	39012142	ENSG00000152147
TMEM178A	2	39892122	39945103	ENSG00000152154
SPC25	2	169690642	169769881	ENSG00000152253
PDK1	2	173420101	173489823	ENSG00000152256
TCF7L1	2	85360533	85537511	ENSG00000152284
TGOLN2	2	85545147	85555548	ENSG00000152291
UHMK1	1	162467041	162499419	ENSG00000152332
TADA1	1	166825747	166845564	ENSG00000152382
ZFP36L2	2	43449541	43453748	ENSG00000152518
PLEKHH2	2	43864412	43995126	ENSG00000152527
GPD1L	3	32147181	32210205	ENSG00000152642
CLEC4F	2	71035775	71047732	ENSG00000152672
SLC30A6	2	32390933	32449448	ENSG00000152683
RASGRP3	2	33661391	33789817	ENSG00000152689
TCTEX1D1	1	67218142	67244470	ENSG00000152760
WDR78	1	67278568	67390570	ENSG00000152763
GGPS1	1	235490665	235507847	ENSG00000152904
MR1	1	181003067	181031074	ENSG00000153029
ACMSD	2	135596117	135659604	ENSG00000153086
ACOXL	2	111490150	111875799	ENSG00000153093
BCL2L11	2	111876955	111926024	ENSG00000153094
ANAPC1	2	112523848	112642267	ENSG00000153107
HNRNPU	1	245014468	245027844	ENSG00000153187
RANBP2	2	109335937	109402267	ENSG00000153201
AHCTF1	1	247002400	247095280	ENSG00000153207
MERTK	2	112656056	112787138	ENSG00000153208
TMEM87B	2	112812800	112876895	ENSG00000153214
NR4A2	2	157180944	157198860	ENSG00000153234
RBMS1	2	161128662	161350305	ENSG00000153250
SCN3A	2	165944032	166060577	ENSG00000153253
CD96	3	111011566	111384597	ENSG00000153283
LINC00467	1	211556145	211605878	ENSG00000153363
CMTM7	3	32433163	32524559	ENSG00000153551
FBXL2	3	33318517	33445154	ENSG00000153558
UBP1	3	33429828	33482863	ENSG00000153560
RMND5A	2	86947296	87005164	ENSG00000153561
CD8A	2	87011729	87035519	ENSG00000153563
RPIA	2	88991162	89050452	ENSG00000153574
PID1	2	229715242	230136001	ENSG00000153823
TRIP12	2	230628554	230787955	ENSG00000153827
FBXO36	2	230787018	230877825	ENSG00000153832
MCOLN2	1	85391268	85462796	ENSG00000153898
DDAH1	1	85784164	86043933	ENSG00000153904
HS2ST1	1	87380331	87602334	ENSG00000153936
AK5	1	77747736	78025651	ENSG00000154027
GPR15	3	98250743	98251960	ENSG00000154165
TOMM70A	3	100082275	100120242	ENSG00000154174
ABI3BP	3	100468000	100712359	ENSG00000154175
CC2D1B	1	52811395	52831865	ENSG00000154222
MIA3	1	222791428	222841354	ENSG00000154305
DISP1	1	222988406	223179337	ENSG00000154309
OBSCN	1	228395831	228566577	ENSG00000154358
TRIM11	1	228581374	228594541	ENSG00000154370
ENAH	1	225674537	225840844	ENSG00000154380
CCSAP	1	229456758	229479041	ENSG00000154429
GBP5	1	89724633	89738544	ENSG00000154451
FAM69A	1	93307724	93427057	ENSG00000154511
ATP5G3	2	176040986	176049335	ENSG00000154518
TSEN2	3	12525931	12581122	ENSG00000154743
WNT7A	3	13857755	13921618	ENSG00000154764
XPC	3	14186647	14220283	ENSG00000154767
CCDC174	3	14693271	14714166	ENSG00000154781
FGD5	3	14860469	14975895	ENSG00000154783
DPH3	3	16299485	16306479	ENSG00000154813
OXNAD1	3	16306706	16391806	ENSG00000154814
PLCL2	3	16844159	17132086	ENSG00000154822
PROM2	2	95940201	95957056	ENSG00000155066
MOV10	1	113215763	113243368	ENSG00000155363
RHOC	1	113243728	113250056	ENSG00000155366
PPM1J	1	113252616	113258099	ENSG00000155367
DBI	2	120124497	120130126	ENSG00000155368
SLC16A1	1	113454469	113499635	ENSG00000155380
NIFK	2	122484521	122494499	ENSG00000155438
RBM45	2	178977151	179003738	ENSG00000155636
TTN	2	179390716	179695529	ENSG00000155657
KCTD18	2	201353675	201384507	ENSG00000155729
FAM126B	2	201838441	201936394	ENSG00000155744
ALS2CR12	2	202152994	202222121	ENSG00000155749
ALS2CR11	2	202352148	202483901	ENSG00000155754
TMEM237	2	202484907	202508293	ENSG00000155755
FZD7	2	202899310	202903160	ENSG00000155760
SPAG17	1	118496484	118727846	ENSG00000155761
GPR61	1	110082494	110091028	ENSG00000156097
DRAM2	1	111659955	111682838	ENSG00000156171
FRRS1	1	100174259	100232187	ENSG00000156869
HIAT1	1	100503653	100548933	ENSG00000156875
SASS6	1	100549119	100598511	ENSG00000156876
B3GNT7	2	232260254	232265875	ENSG00000156966
PDE6D	2	232597135	232650982	ENSG00000156973
BRPF1	3	9773413	9789702	ENSG00000156983
RPUSD3	3	9879533	9886286	ENSG00000156990
TATDN2	3	10289707	10322902	ENSG00000157014
GHRL	3	10327359	10334631	ENSG00000157017
SEC13	3	10334815	10362862	ENSG00000157020
EXOG	3	38537618	38583652	ENSG00000157036
NMNAT2	1	183217372	183387737	ENSG00000157064
ZFYVE9	1	52608046	52812358	ENSG00000157077
ATP2B2	3	10365707	10749716	ENSG00000157087
KLHL40	3	42727011	42734036	ENSG00000157119
TIMP4	3	12194551	12200851	ENSG00000157150
SYN2	3	12045876	12232900	ENSG00000157152
C1orf27	1	186344890	186390510	ENSG00000157181
CPT2	1	53662101	53679869	ENSG00000157184
NECAP2	1	16767167	16786573	ENSG00000157191
LRP8	1	53711217	53793742	ENSG00000157193
SSBP3	1	54691105	54879152	ENSG00000157216
CACNA1D	3	53528683	53847760	ENSG00000157388
CACNA2D3	3	54156574	55108584	ENSG00000157445
APPL1	3	57261765	57307496	ENSG00000157500
FMNL2	2	153191751	153506348	ENSG00000157827
GAREML	2	26395960	26412532	ENSG00000157833
DRC1	2	26624784	26679579	ENSG00000157856
FAM213B	1	2517930	2522908	ENSG00000157870
TNFRSF14	1	2487078	2496821	ENSG00000157873
PANK4	1	2439972	2458039	ENSG00000157881
PEX10	1	2336236	2345236	ENSG00000157911
RER1	1	2323267	2336883	ENSG00000157916
SKI	1	2160134	2241558	ENSG00000157933
LDLRAP1	1	25870071	25895377	ENSG00000157978
AGAP1	2	236402733	237040444	ENSG00000157985
KRTCAP3	2	27665233	27669348	ENSG00000157992
PAFAH2	1	26286258	26324648	ENSG00000158006
BRE	2	28112808	28561768	ENSG00000158019
TRIM63	1	26377795	26394927	ENSG00000158022
DUSP2	2	96808905	96811179	ENSG00000158050
UBXN11	1	26607819	26644854	ENSG00000158062
GALNT14	2	31133333	31378068	ENSG00000158089
TPRG1L	1	3541566	3546691	ENSG00000158109
XKR8	1	28285973	28294607	ENSG00000158156
CNNM4	2	97426639	97477628	ENSG00000158158
EYA3	1	28296855	28415207	ENSG00000158161
WASF2	1	27730730	27816669	ENSG00000158195
FAM46B	1	27331511	27339327	ENSG00000158246
RNF207	1	6265535	6281359	ENSG00000158286
GPR153	1	6307406	6321035	ENSG00000158292
RHBDL2	1	39351479	39407471	ENSG00000158315
MITD1	2	99777890	99797521	ENSG00000158411
EIF5B	2	99953816	100017789	ENSG00000158417
C2orf62	2	219221579	219232822	ENSG00000158428
CNOT11	2	101869264	101886778	ENSG00000158435
CD1D	1	158149737	158154686	ENSG00000158473
CD1A	1	158223927	158228059	ENSG00000158477
CD1C	1	158259576	158263420	ENSG00000158481
CD1B	1	158297741	158301321	ENSG00000158485
CD1E	1	158323254	158327343	ENSG00000158488
ZFAND2B	2	220059959	220074373	ENSG00000158552
PPP1R15B	1	204372515	204380919	ENSG00000158615
TAGLN2	1	159887897	159895522	ENSG00000158710
ELK4	1	205577071	205601090	ENSG00000158711
SLAMF8	1	159796540	159807039	ENSG00000158714
SLC45A3	1	205626979	205649587	ENSG00000158715
DUSP23	1	159750722	159752333	ENSG00000158716
NBL1	1	19967048	19984945	ENSG00000158747
HTR6	1	19991780	20006055	ENSG00000158748
ITLN2	1	160914815	160924589	ENSG00000158764
F11R	1	160965001	160991138	ENSG00000158769
USF1	1	161009041	161015767	ENSG00000158773
NIT1	1	161087876	161095235	ENSG00000158793
DEDD	1	161090764	161102478	ENSG00000158796
VWA5B1	1	20617412	20681387	ENSG00000158816
CDA	1	20915441	20945401	ENSG00000158825
PINK1	1	20959948	20978004	ENSG00000158828
B4GALT3	1	161141100	161147287	ENSG00000158850
ADAMTS4	1	161154098	161168846	ENSG00000158859
NDUFS2	1	161166894	161184185	ENSG00000158864
FCER1G	1	161185024	161190489	ENSG00000158869
APOA2	1	161192082	161193421	ENSG00000158874
TOMM40L	1	161195793	161200408	ENSG00000158882
MPZ	1	161274525	161279762	ENSG00000158887
CACHD1	1	64936428	65158741	ENSG00000158966
EPB41	1	29213603	29446553	ENSG00000159023
SV2A	1	149874870	149889434	ENSG00000159164
LAD1	1	201342372	201368736	ENSG00000159166
TNNI1	1	201373625	201398994	ENSG00000159173
CSRP1	1	201452658	201478584	ENSG00000159176
C1QC	1	22970123	22974603	ENSG00000159189
C1orf51	1	150254953	150259505	ENSG00000159208
CCDC24	1	44457031	44462200	ENSG00000159214
C2orf81	2	74641304	74648718	ENSG00000159239
PADI4	1	17634690	17690499	ENSG00000159339
ADIPOR1	1	202909951	202927700	ENSG00000159346
CYB5R1	1	202930997	202936408	ENSG00000159348
PSMD4	1	151227179	151239955	ENSG00000159352
ATP13A2	1	17312453	17338423	ENSG00000159363
M1AP	2	74785010	74875465	ENSG00000159374
PSMB4	1	151372010	151374420	ENSG00000159377
BTG2	1	203274619	203278730	ENSG00000159388
HK2	2	75061108	75120486	ENSG00000159399
CELF3	1	151674880	151689290	ENSG00000159409
ALDH4A1	1	19197926	19229275	ENSG00000159423
THEM4	1	151846060	151882284	ENSG00000159445
MED8	1	43849588	43855479	ENSG00000159479
CCDC17	1	46085716	46089729	ENSG00000159588
GPBP1L1	1	46092976	46153785	ENSG00000159592
TMEM69	1	46152886	46160115	ENSG00000159596
EFCAB14	1	47124366	47184824	ENSG00000159658
DFFA	1	10516579	10532583	ENSG00000160049
CCDC28B	1	32665987	32670988	ENSG00000160050
IQCC	1	32671236	32674288	ENSG00000160051
TMEM234	1	32680073	32687972	ENSG00000160055
BSDC1	1	32830704	32860332	ENSG00000160058
ZBTB8A	1	33005028	33071540	ENSG00000160062
ATAD3B	1	1407143	1433228	ENSG00000160072
SSU72	1	1477053	1510249	ENSG00000160075
UBE2J2	1	1189289	1209265	ENSG00000160087
ZNF362	1	33722146	33766320	ENSG00000160094
FNDC5	1	33327869	33338083	ENSG00000160097
S100A1	1	153600402	153604513	ENSG00000160678
CHTOP	1	153606525	153618782	ENSG00000160679
ZBTB7B	1	154975127	154990998	ENSG00000160685
FLAD1	1	154955814	154965587	ENSG00000160688
SHC1	1	154934774	154946871	ENSG00000160691
ADAR	1	154554538	154600475	ENSG00000160710
IL6R	1	154377669	154441926	ENSG00000160712
UBE2Q1	1	154521053	154531504	ENSG00000160714
CHRNB2	1	154540257	154552502	ENSG00000160716
CRTC2	1	153920145	153931101	ENSG00000160741
ANO10	3	43396351	43733086	ENSG00000160746
FDPS	1	155278539	155290457	ENSG00000160752
RUSC1	1	155290687	155300905	ENSG00000160753
GBAP1	1	155183616	155197214	ENSG00000160766
FAM189B	1	155216996	155225274	ENSG00000160767
PAQR6	1	156213206	156217881	ENSG00000160781
PMF1	1	156182784	156212874	ENSG00000160783
SLC25A44	1	156163880	156182587	ENSG00000160785
LMNA	1	156052364	156109880	ENSG00000160789
CCR5	3	46411633	46417697	ENSG00000160791
NBEAL2	3	47021173	47051193	ENSG00000160796
CCDC12	3	46963216	47023500	ENSG00000160799
PTH1R	3	46919236	46945287	ENSG00000160801
UBQLN4	1	156005092	156023585	ENSG00000160803
MYL3	3	46899362	46923659	ENSG00000160808
GPATCH4	1	156564279	156571288	ENSG00000160818
FCRL3	1	157644111	157670647	ENSG00000160856
RPL29	3	52027616	52029958	ENSG00000162244
ITIH3	3	52828784	52843025	ENSG00000162267
DCP1A	3	53317447	53381654	ENSG00000162290
PDZK1IP1	1	47649265	47656716	ENSG00000162366
TAL1	1	47681962	47697892	ENSG00000162367
CMPK1	1	47799469	47844511	ENSG00000162368
